 Renda média domiciliar per capita - Brasil
Renda média domic. per capita por Município
Período:2000
"Município";"Renda_média_domic._per_capita"
"110001 Alta Floresta D'Oeste";371,48
"110037 Alto Alegre dos Parecis";223,69
"110040 Alto Paraíso";452,20
"110034 Alvorada D'Oeste";320,21
"110002 Ariquemes";527,92
"110045 Buritis";485,14
"110003 Cabixi";344,05
"110060 Cacaulândia";446,21
"110004 Cacoal";452,34
"110070 Campo Novo de Rondônia";386,89
"110080 Candeias do Jamari";249,72
"110090 Castanheiras";312,68
"110005 Cerejeiras";509,20
"110092 Chupinguaia";366,20
"110006 Colorado do Oeste";399,52
"110007 Corumbiara";230,45
"110008 Costa Marques";323,17
"110094 Cujubim";390,30
"110009 Espigão D'Oeste";429,39
"110100 Governador Jorge Teixeira";325,26
"110010 Guajará-Mirim";418,27
"110110 Itapuã do Oeste";398,82
"110011 Jaru";389,50
"110012 Ji-Paraná";529,68
"110013 Machadinho D'Oeste";313,66
"110120 Ministro Andreazza";384,34
"110130 Mirante da Serra";357,01
"110140 Monte Negro";340,97
"110014 Nova Brasilândia D'Oeste";317,05
"110033 Nova Mamoré";266,16
"110143 Nova União";245,17
"110050 Novo Horizonte do Oeste";399,18
"110015 Ouro Preto do Oeste";480,31
"110145 Parecis";186,61
"110018 Pimenta Bueno";506,40
"110146 Pimenteiras do Oeste";210,16
"110020 Porto Velho";600,44
"110025 Presidente Médici";350,31
"110147 Primavera de Rondônia";231,33
"110026 Rio Crespo";677,88
"110028 Rolim de Moura";442,29
"110029 Santa Luzia D'Oeste";234,91
"110148 São Felipe D'Oeste";265,37
"110149 São Francisco do Guaporé";470,74
"110032 São Miguel do Guaporé";284,07
"110150 Seringueiras";310,08
"110155 Teixeirópolis";280,64
"110160 Theobroma";227,06
"110170 Urupá";253,90
"110175 Vale do Anari";443,51
"110180 Vale do Paraíso";333,74
"110030 Vilhena";568,08
"120001 Acrelândia";261,59
"120005 Assis Brasil";239,75
"120010 Brasiléia";261,45
"120013 Bujari";267,85
"120017 Capixaba";228,84
"120020 Cruzeiro do Sul";276,42
"120025 Epitaciolândia";272,51
"120030 Feijó";127,21
"120032 Jordão";59,11
"120033 Mâncio Lima";189,30
"120034 Manoel Urbano";192,96
"120035 Marechal Thaumaturgo";89,95
"120038 Plácido de Castro";225,11
"120080 Porto Acre";216,08
"120039 Porto Walter";141,79
"120040 Rio Branco";520,64
"120042 Rodrigues Alves";119,02
"120043 Santa Rosa do Purus";82,98
"120050 Sena Madureira";211,83
"120045 Senador Guiomard";303,83
"120060 Tarauacá";182,23
"120070 Xapuri";242,53
"130002 Alvarães";185,47
"130006 Amaturá";114,44
"130008 Anamã";195,13
"130010 Anori";181,19
"130014 Apuí";254,21
"130020 Atalaia do Norte";144,98
"130030 Autazes";174,38
"130040 Barcelos";137,96
"130050 Barreirinha";121,96
"130060 Benjamin Constant";139,88
"130063 Beruri";135,28
"130068 Boa Vista do Ramos";107,27
"130070 Boca do Acre";182,86
"130080 Borba";119,04
"130083 Caapiranga";151,80
"130090 Canutama";123,58
"130100 Carauari";158,61
"130110 Careiro";141,42
"130115 Careiro da Várzea";165,23
"130120 Coari";159,33
"130130 Codajás";139,01
"130140 Eirunepé";137,83
"130150 Envira";84,21
"130160 Fonte Boa";86,61
"130165 Guajará";69,15
"130170 Humaitá";264,50
"130180 Ipixuna";76,85
"130185 Iranduba";224,58
"130190 Itacoatiara";230,72
"130195 Itamarati";94,18
"130200 Itapiranga";143,93
"130210 Japurá";104,85
"130220 Juruá";159,19
"130230 Jutaí";119,78
"130240 Lábrea";131,24
"130250 Manacapuru";197,34
"130255 Manaquiri";228,40
"130260 Manaus";515,90
"130270 Manicoré";138,26
"130280 Maraã";109,35
"130290 Maués";189,88
"130300 Nhamundá";136,74
"130310 Nova Olinda do Norte";139,20
"130320 Novo Airão";187,07
"130330 Novo Aripuanã";137,62
"130340 Parintins";180,93
"130350 Pauini";74,26
"130353 Presidente Figueiredo";387,04
"130356 Rio Preto da Eva";214,29
"130360 Santa Isabel do Rio Negro";102,88
"130370 Santo Antônio do Içá";91,01
"130380 São Gabriel da Cachoeira";208,96
"130390 São Paulo de Olivença";102,57
"130395 São Sebastião do Uatumã";141,65
"130400 Silves";144,16
"130406 Tabatinga";280,19
"130410 Tapauá";94,60
"130420 Tefé";232,61
"130423 Tonantins";113,40
"130426 Uarini";149,81
"130430 Urucará";283,98
"130440 Urucurituba";126,01
"140005 Alto Alegre";155,89
"140002 Amajari";179,94
"140010 Boa Vista";589,10
"140015 Bonfim";193,96
"140017 Cantá";241,87
"140020 Caracaraí";310,61
"140023 Caroebe";263,81
"140028 Iracema";294,07
"140030 Mucajaí";330,93
"140040 Normandia";114,86
"140045 Pacaraima";314,11
"140047 Rorainópolis";274,73
"140050 São João da Baliza";245,14
"140060 São Luiz";286,22
"140070 Uiramutã";77,25
"150010 Abaetetuba";200,72
"150013 Abel Figueiredo";319,57
"150020 Acará";161,10
"150030 Afuá";147,64
"150034 Água Azul do Norte";268,78
"150040 Alenquer";173,00
"150050 Almeirim";489,41
"150060 Altamira";400,38
"150070 Anajás";183,24
"150080 Ananindeua";369,56
"150085 Anapu";226,64
"150090 Augusto Corrêa";135,73
"150095 Aurora do Pará";170,42
"150100 Aveiro";104,38
"150110 Bagre";112,87
"150120 Baião";161,71
"150125 Bannach";247,70
"150130 Barcarena";344,97
"150140 Belém";617,23
"150145 Belterra";122,34
"150150 Benevides";272,78
"150157 Bom Jesus do Tocantins";211,02
"150160 Bonito";161,10
"150170 Bragança";207,06
"150172 Brasil Novo";291,84
"150175 Brejo Grande do Araguaia";222,67
"150178 Breu Branco";260,71
"150180 Breves";166,65
"150190 Bujaru";140,06
"150200 Cachoeira do Arari";234,24
"150195 Cachoeira do Piriá";100,98
"150210 Cametá";139,51
"150215 Canaã dos Carajás";332,77
"150220 Capanema";281,61
"150230 Capitão Poço";182,48
"150240 Castanhal";318,36
"150250 Chaves";125,88
"150260 Colares";193,75
"150270 Conceição do Araguaia";303,69
"150275 Concórdia do Pará";154,88
"150276 Cumaru do Norte";179,81
"150277 Curionópolis";212,53
"150280 Curralinho";126,11
"150285 Curuá";123,50
"150290 Curuçá";218,54
"150293 Dom Eliseu";286,71
"150295 Eldorado do Carajás";206,43
"150300 Faro";130,89
"150304 Floresta do Araguaia";182,38
"150307 Garrafão do Norte";141,46
"150309 Goianésia do Pará";287,02
"150310 Gurupá";148,43
"150320 Igarapé-Açu";177,69
"150330 Igarapé-Miri";162,90
"150340 Inhangapi";225,46
"150345 Ipixuna do Pará";144,20
"150350 Irituia";227,80
"150360 Itaituba";314,56
"150370 Itupiranga";169,06
"150375 Jacareacanga";234,32
"150380 Jacundá";344,50
"150390 Juruti";108,41
"150400 Limoeiro do Ajuru";127,13
"150405 Mãe do Rio";238,78
"150410 Magalhães Barata";113,78
"150420 Marabá";372,93
"150430 Maracanã";127,36
"150440 Marapanim";154,98
"150442 Marituba";249,19
"150445 Medicilândia";398,98
"150450 Melgaço";99,99
"150460 Mocajuba";166,59
"150470 Moju";178,23
"150480 Monte Alegre";172,38
"150490 Muaná";166,00
"150495 Nova Esperança do Piriá";169,56
"150497 Nova Ipixuna";258,83
"150500 Nova Timboteua";189,34
